flight_id,aircraft_id,departure,arrival,delay_minutes,fuel_used,status
FL0059,AC006,CCU,DEL,7,5782,COMPLETED
FL0060,AC006,HYD,BOM,32,5991,DELAYED
FL0061,AC006,BOM,MAA,20,5216,DELAYED
FL0062,AC006,BLR,BOM,15,3292,COMPLETED
FL0063,AC006,CCU,DEL,15,4127,COMPLETED
FL0064,AC007,MAA,BLR,20,5560,DELAYED
FL0065,AC007,BOM,MAA,27,3544,COMPLETED
FL0066,AC007,DEL,BLR,19,3638,COMPLETED
FL0067,AC007,BLR,CCU,16,5792,CANCELLED
FL0068,AC007,BOM,CCU,20,6142,CANCELLED
FL0069,AC007,DEL,BOM,7,5421,COMPLETED
FL0070,AC007,HYD,CCU,10,2673,COMPLETED
FL0071,AC007,HYD,BOM,17,2206,COMPLETED
FL0072,AC007,HYD,BOM,39,3691,COMPLETED
FL0073,AC007,CCU,MAA,3,2710,COMPLETED
FL0074,AC007,MAA,CCU,3,3466,COMPLETED
FL0075,AC007,MAA,HYD,12,2985,COMPLETED
FL0076,AC007,BLR,BOM,1,4721,COMPLETED
FL0077,AC007,BLR,CCU,23,3060,COMPLETED
FL0078,AC007,HYD,CCU,7,4881,COMPLETED
FL0079,AC008,BLR,BOM,0,6131,DELAYED
FL0080,AC008,BOM,DEL,16,3362,COMPLETED
FL0081,AC008,CCU,HYD,4,5276,COMPLETED
FL0082,AC008,MAA,BOM,40,5503,COMPLETED
FL0083,AC008,DEL,BOM,18,5680,DELAYED
FL0084,AC008,BLR,HYD,33,5829,COMPLETED
FL0085,AC008,BOM,HYD,7,4887,COMPLETED
FL0086,AC008,DEL,HYD,18,3096,COMPLETED
FL0087,AC008,CCU,HYD,0,5957,DELAYED
FL0088,AC008,BLR,BOM,21,5482,COMPLETED
FL0089,AC008,HYD,CCU,0,5851,COMPLETED
FL0090,AC008,CCU,HYD,0,3947,DELAYED
FL0091,AC008,HYD,BLR,36,4144,COMPLETED
FL0092,AC008,BOM,BLR,4,5336,DELAYED
FL0093,AC008,BLR,BOM,17,3370,COMPLETED
FL0094,AC009,MAA,CCU,23,2530,COMPLETED
FL0095,AC009,BOM,HYD,10,2463,COMPLETED
FL0096,AC009,MAA,CCU,0,4108,COMPLETED
FL0097,AC009,BOM,HYD,0,6075,COMPLETED
FL0098,AC009,HYD,BLR,33,4153,COMPLETED
FL0099,AC009,MAA,BLR,18,6105,DELAYED
FL0100,AC009,HYD,CCU,0,5476,COMPLETED
FL0101,AC009,BOM,HYD,20,2318,COMPLETED
FL0102,AC009,CCU,BLR,32,5166,COMPLETED
FL0103,AC009,BLR,BOM,35,5914,COMPLETED
FL0104,AC009,HYD,DEL,15,2543,COMPLETED
FL0105,AC009,BOM,HYD,22,3540,COMPLETED
FL0106,AC009,MAA,BLR,27,5317,DELAYED
FL0107,AC010,BLR,MAA,26,5268,COMPLETED
FL0108,AC010,MAA,BOM,4,4862,COMPLETED
FL0109,AC010,CCU,DEL,18,3016,DELAYED
FL0110,AC010,HYD,BOM,0,3177,COMPLETED
FL0111,AC010,CCU,DEL,8,5065,COMPLETED
FL0112,AC010,MAA,BOM,14,4681,COMPLETED
FL0113,AC010,CCU,DEL,19,3474,COMPLETED
FL0114,AC010,DEL,BLR,9,4558,COMPLETED
FL0115,AC010,BLR,HYD,26,4625,COMPLETED
FL0116,AC010,CCU,BOM,14,2617,COMPLETED
FL0117,AC010,MAA,CCU,26,4518,DELAYED
FL0118,AC010,MAA,CCU,0,3954,COMPLETED
FL0119,AC011,HYD,MAA,32,4207,COMPLETED
FL0120,AC011,MAA,HYD,19,5097,COMPLETED
FL0121,AC011,BOM,CCU,28,5510,DELAYED
FL0122,AC011,BLR,HYD,15,3984,DELAYED
FL0123,AC011,HYD,MAA,13,6028,COMPLETED
FL0124,AC011,BLR,BOM,27,5273,COMPLETED
FL0125,AC011,HYD,BLR,9,3531,COMPLETED
FL0126,AC011,BOM,BLR,31,5467,COMPLETED
FL0127,AC011,MAA,CCU,14,2241,COMPLETED
FL0128,AC012,DEL,MAA,7,5149,COMPLETED
FL0129,AC012,HYD,BOM,10,4210,COMPLETED
FL0130,AC012,DEL,BOM,0,3405,COMPLETED
FL0131,AC012,CCU,BOM,11,4138,COMPLETED
FL0132,AC012,MAA,HYD,35,5255,COMPLETED
FL0133,AC012,MAA,HYD,16,2694,COMPLETED
FL0134,AC012,MAA,DEL,28,5242,COMPLETED
FL0135,AC012,CCU,BOM,26,3332,COMPLETED
FL0136,AC012,HYD,CCU,39,3359,CANCELLED
FL0137,AC012,BOM,BLR,19,2257,COMPLETED
FL0138,AC012,BOM,BLR,26,2386,CANCELLED
FL0139,AC013,CCU,BOM,2,2620,DELAYED
FL0140,AC013,HYD,MAA,0,4122,COMPLETED
FL0141,AC013,MAA,BOM,28,5729,COMPLETED
FL0142,AC013,DEL,HYD,15,4214,COMPLETED
FL0143,AC013,CCU,DEL,32,6087,COMPLETED
FL0144,AC013,BOM,DEL,38,4485,DELAYED
FL0145,AC013,HYD,CCU,20,4340,COMPLETED
FL0146,AC013,BLR,MAA,8,5723,COMPLETED
FL0147,AC013,BLR,MAA,13,6132,COMPLETED
FL0148,AC013,BOM,MAA,15,3283,COMPLETED
FL0149,AC013,BOM,MAA,20,2210,COMPLETED
FL0150,AC013,CCU,HYD,22,4124,COMPLETED
FL0151,AC014,MAA,BLR,13,5015,COMPLETED
FL0152,AC014,MAA,CCU,3,4908,DELAYED
FL0153,AC014,BOM,HYD,25,2810,DELAYED
FL0154,AC014,BOM,DEL,24,2444,COMPLETED
FL0155,AC014,MAA,CCU,17,3382,COMPLETED
FL0156,AC014,BLR,MAA,0,5066,COMPLETED
FL0157,AC014,MAA,CCU,3,4649,COMPLETED
FL0158,AC014,BLR,MAA,14,4672,COMPLETED
FL0159,AC014,DEL,MAA,43,4556,COMPLETED
FL0160,AC014,DEL,BLR,11,4560,COMPLETED
FL0161,AC014,BOM,HYD,2,3339,COMPLETED
FL0162,AC015,CCU,BLR,16,6169,COMPLETED
FL0163,AC015,MAA,HYD,7,5713,COMPLETED
FL0164,AC015,BLR,HYD,36,3380,COMPLETED
FL0165,AC015,BLR,CCU,23,3233,COMPLETED
FL0166,AC015,BLR,CCU,19,5578,CANCELLED
FL0167,AC015,CCU,HYD,13,4323,COMPLETED
FL0168,AC015,BLR,HYD,19,5312,COMPLETED
FL0169,AC015,MAA,CCU,25,5807,COMPLETED
FL0170,AC015,DEL,BOM,26,6186,COMPLETED
FL0171,AC015,BOM,MAA,17,3871,COMPLETED
FL0172,AC015,DEL,HYD,20,6079,COMPLETED
FL0173,AC015,BOM,HYD,28,5089,COMPLETED
FL0174,AC015,BLR,HYD,13,3198,COMPLETED
FL0175,AC015,BOM,HYD,24,5256,DELAYED
FL0176,AC016,MAA,HYD,35,3592,DELAYED
FL0177,AC016,HYD,MAA,22,3422,DELAYED
FL0178,AC016,HYD,BLR,7,5744,COMPLETED
FL0179,AC016,HYD,BLR,8,4425,COMPLETED
FL0180,AC016,MAA,BOM,32,5056,COMPLETED
FL0181,AC016,BLR,BOM,26,3503,COMPLETED
FL0182,AC016,CCU,BLR,6,3781,CANCELLED
FL0183,AC016,CCU,BOM,14,4257,CANCELLED
FL0184,AC016,MAA,DEL,18,5780,DELAYED
FL0185,AC017,HYD,BLR,25,5767,COMPLETED
FL0186,AC017,BOM,DEL,18,4123,DELAYED
FL0187,AC017,MAA,BLR,7,2528,DELAYED
FL0188,AC017,CCU,HYD,8,3756,CANCELLED
FL0189,AC017,CCU,BLR,20,2480,COMPLETED
FL0190,AC017,CCU,MAA,15,3131,COMPLETED
FL0191,AC017,BLR,DEL,19,2611,COMPLETED
FL0192,AC017,CCU,MAA,0,5900,COMPLETED
FL0193,AC017,MAA,DEL,14,2796,COMPLETED
FL0194,AC018,HYD,BOM,31,2896,COMPLETED
FL0195,AC018,HYD,BLR,10,5938,COMPLETED
FL0196,AC018,BOM,HYD,10,4812,COMPLETED
FL0197,AC018,MAA,DEL,30,3378,COMPLETED
FL0198,AC018,BOM,DEL,8,4009,DELAYED
FL0199,AC018,HYD,MAA,8,3224,COMPLETED
FL0200,AC018,MAA,BOM,6,3775,DELAYED
FL0201,AC018,DEL,MAA,8,3411,CANCELLED
FL0202,AC018,MAA,DEL,26,5599,COMPLETED
FL0203,AC018,MAA,DEL,0,5250,CANCELLED
FL0204,AC018,HYD,BLR,9,5611,DELAYED
FL0205,AC018,MAA,BOM,7,4807,COMPLETED
FL0206,AC018,MAA,BOM,9,4773,COMPLETED
FL0207,AC018,CCU,DEL,12,4573,COMPLETED
FL0208,AC019,DEL,BLR,32,3538,COMPLETED
FL0209,AC019,BOM,MAA,29,6179,COMPLETED
FL0210,AC019,HYD,MAA,30,5601,COMPLETED
FL0211,AC019,BLR,MAA,17,2671,COMPLETED
FL0212,AC019,DEL,MAA,5,5289,CANCELLED
FL0213,AC019,CCU,BLR,42,3698,COMPLETED
FL0214,AC019,BLR,DEL,12,3283,COMPLETED
FL0215,AC019,BLR,MAA,8,4594,COMPLETED
FL0216,AC019,CCU,MAA,0,2643,COMPLETED
FL0217,AC019,BLR,DEL,0,3543,DELAYED
FL0218,AC020,CCU,DEL,0,4802,DELAYED
FL0219,AC020,CCU,MAA,13,2385,DELAYED
FL0220,AC020,MAA,HYD,12,2675,COMPLETED
FL0221,AC020,HYD,BOM,7,6088,COMPLETED
FL0222,AC020,HYD,BLR,26,4605,COMPLETED
FL0223,AC020,BOM,HYD,3,4721,COMPLETED
FL0224,AC020,MAA,DEL,0,5027,COMPLETED
FL0225,AC020,BLR,HYD,44,2606,CANCELLED
FL0226,AC020,MAA,CCU,9,5893,CANCELLED
FL0227,AC020,MAA,DEL,10,2700,DELAYED
FL0228,AC020,BLR,DEL,23,4914,COMPLETED
FL0229,AC021,DEL,BLR,18,4512,COMPLETED
FL0230,AC021,HYD,BOM,25,4601,COMPLETED
FL0231,AC021,BOM,BLR,21,4641,COMPLETED
FL0232,AC021,BOM,MAA,0,4412,COMPLETED
FL0233,AC021,BOM,DEL,16,2260,COMPLETED
FL0234,AC021,BOM,CCU,15,3526,COMPLETED
FL0235,AC021,MAA,DEL,28,2665,COMPLETED
FL0236,AC021,BLR,HYD,28,5386,COMPLETED
FL0237,AC022,BLR,CCU,21,5178,DELAYED
FL0238,AC022,CCU,HYD,37,3435,COMPLETED
FL0239,AC022,DEL,BOM,45,3946,COMPLETED
FL0240,AC022,BLR,HYD,17,2501,DELAYED
FL0241,AC022,MAA,CCU,22,4757,COMPLETED
FL0242,AC022,HYD,MAA,23,3760,CANCELLED
FL0243,AC022,HYD,MAA,0,2606,DELAYED
FL0244,AC022,DEL,CCU,23,5152,DELAYED
FL0245,AC022,BLR,HYD,29,5589,COMPLETED
FL0246,AC023,CCU,DEL,8,3480,COMPLETED
FL0247,AC023,CCU,MAA,12,5980,COMPLETED
FL0248,AC023,DEL,BOM,23,2581,COMPLETED
FL0249,AC023,CCU,MAA,24,4602,CANCELLED
FL0250,AC023,HYD,MAA,1,4944,COMPLETED
FL0251,AC023,MAA,HYD,33,6166,COMPLETED
FL0252,AC023,MAA,BLR,1,2624,COMPLETED
FL0253,AC023,BOM,MAA,12,2643,COMPLETED
FL0254,AC023,HYD,MAA,9,2670,DELAYED
FL0255,AC023,HYD,BOM,27,6191,DELAYED
FL0256,AC023,HYD,CCU,0,4964,COMPLETED
FL0257,AC023,DEL,CCU,41,3295,COMPLETED
FL0258,AC023,MAA,BLR,6,5974,COMPLETED
FL0259,AC023,DEL,MAA,30,3841,COMPLETED
FL0260,AC024,DEL,CCU,4,3081,COMPLETED
FL0261,AC024,BLR,MAA,24,3528,DELAYED
FL0262,AC024,HYD,CCU,28,2547,DELAYED
FL0263,AC024,BOM,MAA,18,2534,COMPLETED
FL0264,AC024,CCU,BLR,13,4189,COMPLETED
FL0265,AC024,BLR,MAA,21,3613,COMPLETED
FL0266,AC024,MAA,CCU,34,4193,COMPLETED
FL0267,AC024,MAA,DEL,25,2424,COMPLETED
FL0268,AC025,BOM,MAA,57,5330,COMPLETED
FL0269,AC025,MAA,DEL,41,2919,COMPLETED
FL0270,AC025,HYD,BOM,19,4249,COMPLETED
FL0271,AC025,CCU,MAA,43,2373,COMPLETED
FL0272,AC025,BLR,DEL,30,5731,COMPLETED
FL0273,AC025,BLR,CCU,1,3385,COMPLETED
FL0274,AC025,DEL,BLR,29,2903,DELAYED
FL0275,AC025,HYD,BLR,33,2560,COMPLETED
FL0276,AC025,DEL,MAA,0,3984,COMPLETED
FL0277,AC025,HYD,DEL,8,3590,COMPLETED
FL0278,AC025,BOM,DEL,25,4290,COMPLETED
FL0279,AC025,HYD,CCU,26,3638,COMPLETED
FL0280,AC026,BOM,DEL,40,2799,COMPLETED
FL0281,AC026,BOM,CCU,31,2508,COMPLETED
FL0282,AC026,CCU,BLR,37,4100,DELAYED
FL0283,AC026,HYD,BLR,5,4833,COMPLETED
FL0284,AC026,HYD,MAA,0,5739,CANCELLED
FL0285,AC026,MAA,BOM,3,4786,COMPLETED
FL0286,AC026,MAA,CCU,23,2430,COMPLETED
FL0287,AC026,DEL,BLR,14,3710,DELAYED
FL0288,AC026,DEL,BOM,18,4719,COMPLETED
FL0289,AC026,BLR,HYD,0,5226,DELAYED
FL0290,AC027,HYD,BOM,1,3516,COMPLETED
FL0291,AC027,HYD,BOM,32,5521,DELAYED
FL0292,AC027,MAA,DEL,13,4266,COMPLETED
FL0293,AC027,DEL,MAA,6,4346,COMPLETED
FL0294,AC027,BOM,BLR,0,3727,DELAYED
FL0295,AC027,BLR,HYD,21,2414,DELAYED
FL0296,AC027,CCU,MAA,0,2469,COMPLETED
FL0297,AC027,HYD,BLR,13,4889,CANCELLED
FL0298,AC027,HYD,BOM,39,3565,COMPLETED
FL0299,AC027,CCU,BOM,28,4887,COMPLETED
FL0300,AC027,BLR,BOM,11,4637,COMPLETED
FL0301,AC027,DEL,BLR,0,3545,DELAYED
FL0302,AC027,CCU,HYD,10,2582,COMPLETED
FL0303,AC027,BLR,CCU,9,2938,CANCELLED
FL0304,AC027,MAA,HYD,28,2986,COMPLETED
FL0305,AC028,BOM,DEL,11,4279,DELAYED
FL0306,AC028,CCU,HYD,41,2354,COMPLETED
FL0307,AC028,HYD,BOM,11,2940,DELAYED
FL0308,AC028,HYD,BOM,13,5153,COMPLETED
FL0309,AC028,BLR,MAA,13,4019,COMPLETED
FL0310,AC028,CCU,BLR,8,3158,COMPLETED
FL0311,AC028,MAA,HYD,25,4978,DELAYED
FL0312,AC028,BLR,HYD,12,5351,COMPLETED
FL0313,AC028,BLR,CCU,0,5545,COMPLETED
FL0314,AC028,HYD,BOM,11,5775,COMPLETED
FL0315,AC029,MAA,CCU,38,4313,DELAYED
FL0316,AC029,MAA,DEL,9,5325,COMPLETED
FL0317,AC029,BLR,CCU,27,6076,DELAYED
FL0318,AC029,BLR,MAA,30,6011,COMPLETED
FL0319,AC029,DEL,HYD,7,2534,COMPLETED
FL0320,AC029,DEL,BLR,17,6012,COMPLETED
FL0321,AC029,CCU,MAA,19,3375,DELAYED
FL0322,AC029,BLR,BOM,10,5308,COMPLETED
FL0323,AC029,BLR,CCU,23,3248,COMPLETED
FL0324,AC029,BOM,CCU,18,6051,COMPLETED
FL0325,AC029,HYD,BLR,26,3433,COMPLETED
FL0326,AC029,BOM,HYD,25,4817,DELAYED
FL0327,AC029,BLR,DEL,41,4644,COMPLETED
FL0328,AC029,CCU,HYD,37,4555,COMPLETED
FL0329,AC029,BOM,BLR,0,3185,COMPLETED
FL0330,AC030,CCU,DEL,26,4344,CANCELLED
FL0331,AC030,DEL,CCU,0,4279,COMPLETED
FL0332,AC030,BLR,HYD,11,2378,COMPLETED
FL0333,AC030,MAA,BLR,17,2476,COMPLETED
FL0334,AC030,CCU,DEL,4,5360,COMPLETED
FL0335,AC030,MAA,BOM,34,5532,COMPLETED
FL0336,AC030,CCU,BLR,22,5048,COMPLETED
FL0337,AC030,BOM,MAA,40,4074,COMPLETED
FL0338,AC030,BOM,DEL,27,5440,COMPLETED
FL0339,AC030,DEL,BLR,33,5539,COMPLETED
FL0340,AC031,DEL,MAA,11,3371,COMPLETED
FL0341,AC031,DEL,BLR,14,3989,DELAYED
FL0342,AC031,CCU,BLR,42,5864,CANCELLED
FL0343,AC031,MAA,BOM,1,5985,DELAYED
FL0344,AC031,MAA,DEL,18,5178,COMPLETED
FL0345,AC031,BLR,CCU,26,3403,COMPLETED
FL0346,AC031,DEL,BLR,17,4907,COMPLETED
FL0347,AC031,BLR,CCU,16,4018,COMPLETED
FL0348,AC031,DEL,BLR,9,4718,CANCELLED
FL0349,AC031,MAA,DEL,35,3688,COMPLETED
FL0350,AC031,CCU,BOM,27,6102,COMPLETED
FL0351,AC031,HYD,BLR,23,5388,COMPLETED
FL0352,AC032,BLR,CCU,19,2332,COMPLETED
FL0353,AC032,CCU,BLR,30,5325,COMPLETED
FL0354,AC032,BOM,CCU,13,3703,COMPLETED
FL0355,AC032,CCU,MAA,18,5213,COMPLETED
FL0356,AC032,HYD,BLR,24,5941,COMPLETED
FL0357,AC032,MAA,BLR,15,4706,COMPLETED
FL0358,AC032,BLR,BOM,8,2702,COMPLETED
FL0359,AC032,DEL,HYD,28,2559,DELAYED
FL0360,AC032,MAA,BLR,37,5106,COMPLETED
FL0361,AC032,HYD,MAA,39,5115,COMPLETED
FL0362,AC032,CCU,BOM,0,5450,COMPLETED
FL0363,AC032,BOM,DEL,42,3169,DELAYED
FL0364,AC032,DEL,BLR,15,4469,COMPLETED
FL0365,AC033,HYD,BOM,13,3466,COMPLETED
FL0366,AC033,CCU,BLR,14,4353,COMPLETED
FL0367,AC033,BLR,CCU,51,4831,COMPLETED
FL0368,AC033,BLR,CCU,34,3611,COMPLETED
FL0369,AC033,HYD,CCU,33,3972,COMPLETED
FL0370,AC033,DEL,BOM,51,4322,COMPLETED
FL0371,AC033,BOM,MAA,8,3617,DELAYED
FL0372,AC033,HYD,MAA,37,5664,COMPLETED
FL0373,AC033,BOM,CCU,14,4716,COMPLETED
FL0374,AC033,HYD,BOM,37,4624,DELAYED
FL0375,AC033,BOM,MAA,5,4678,COMPLETED
FL0376,AC033,HYD,DEL,0,5580,DELAYED
FL0377,AC033,DEL,BOM,40,3284,COMPLETED
FL0378,AC033,HYD,BLR,10,4731,COMPLETED
FL0379,AC033,BLR,CCU,9,4178,COMPLETED
FL0380,AC034,MAA,HYD,51,2498,COMPLETED
FL0381,AC034,BOM,HYD,4,3593,COMPLETED
FL0382,AC034,MAA,BLR,25,5207,CANCELLED
FL0383,AC034,MAA,HYD,27,4500,COMPLETED
FL0384,AC034,BOM,HYD,27,2701,COMPLETED
FL0385,AC034,BOM,MAA,27,3773,DELAYED
FL0386,AC034,BLR,BOM,24,6143,DELAYED
FL0387,AC034,BOM,BLR,38,2977,DELAYED
FL0388,AC034,BLR,CCU,8,4112,COMPLETED
FL0389,AC034,MAA,HYD,51,4270,COMPLETED
FL0390,AC034,BOM,MAA,22,4589,COMPLETED
FL0391,AC034,DEL,BLR,0,4879,COMPLETED
FL0392,AC034,MAA,CCU,18,2233,DELAYED
FL0393,AC034,BLR,BOM,34,5328,COMPLETED
FL0394,AC035,BLR,DEL,2,4535,COMPLETED
FL0395,AC035,MAA,CCU,14,4044,DELAYED
FL0396,AC035,MAA,CCU,31,4986,COMPLETED
FL0397,AC035,BOM,DEL,0,3588,COMPLETED
FL0398,AC035,MAA,BOM,33,3015,COMPLETED
FL0399,AC035,BLR,CCU,21,5122,COMPLETED
FL0400,AC035,BLR,CCU,18,4071,COMPLETED
FL0401,AC035,HYD,BOM,8,2865,COMPLETED
FL0402,AC036,HYD,MAA,35,4277,DELAYED
FL0403,AC036,HYD,BLR,14,5541,COMPLETED
FL0404,AC036,MAA,DEL,6,3906,COMPLETED
FL0405,AC036,CCU,DEL,8,4885,DELAYED
FL0406,AC036,HYD,CCU,11,3132,COMPLETED
FL0407,AC036,HYD,BLR,27,4738,DELAYED
FL0408,AC036,BLR,BOM,35,5565,COMPLETED
FL0409,AC036,DEL,CCU,24,2277,COMPLETED
FL0410,AC036,BLR,BOM,15,3891,COMPLETED
FL0411,AC036,BLR,CCU,22,5775,DELAYED
FL0412,AC036,CCU,DEL,0,5090,COMPLETED
FL0413,AC036,BOM,CCU,8,4352,COMPLETED
FL0414,AC037,BLR,CCU,36,3602,COMPLETED
FL0415,AC037,CCU,MAA,10,3209,COMPLETED
FL0416,AC037,MAA,BOM,12,6056,CANCELLED
FL0417,AC037,MAA,BLR,12,4202,COMPLETED
FL0418,AC037,MAA,CCU,0,6024,DELAYED
FL0419,AC037,CCU,MAA,13,4424,COMPLETED
FL0420,AC037,BLR,MAA,35,6110,DELAYED
FL0421,AC037,BOM,BLR,51,2523,COMPLETED
FL0422,AC037,BLR,MAA,27,5261,COMPLETED
FL0423,AC037,BOM,CCU,15,3312,COMPLETED
FL0424,AC038,BOM,DEL,35,4943,DELAYED
FL0425,AC038,BOM,MAA,31,5138,COMPLETED
FL0426,AC038,CCU,BOM,22,2221,CANCELLED
FL0427,AC038,BOM,HYD,1,4148,COMPLETED
FL0428,AC038,BOM,BLR,0,3515,COMPLETED
FL0429,AC038,DEL,BOM,12,5225,COMPLETED
FL0430,AC038,DEL,MAA,9,3911,DELAYED
FL0431,AC038,BOM,DEL,32,4229,COMPLETED
FL0432,AC038,CCU,MAA,17,5791,COMPLETED
FL0433,AC038,MAA,CCU,0,3572,COMPLETED
FL0434,AC038,CCU,HYD,0,4347,COMPLETED
FL0435,AC039,HYD,BLR,14,3554,COMPLETED
FL0436,AC039,BLR,MAA,43,5143,COMPLETED
FL0437,AC039,CCU,MAA,22,5301,COMPLETED
FL0438,AC039,HYD,BLR,0,5587,COMPLETED
FL0439,AC039,MAA,DEL,12,2775,COMPLETED
FL0440,AC039,BOM,DEL,21,3268,COMPLETED
FL0441,AC039,BLR,MAA,29,5160,COMPLETED
FL0442,AC039,MAA,BLR,14,5037,COMPLETED
FL0443,AC039,CCU,DEL,9,5010,COMPLETED
FL0444,AC039,CCU,MAA,19,5027,COMPLETED
FL0445,AC040,MAA,CCU,24,4158,COMPLETED
FL0446,AC040,CCU,HYD,52,3730,COMPLETED
FL0447,AC040,HYD,BLR,19,5581,COMPLETED
FL0448,AC040,BOM,CCU,0,5776,DELAYED
FL0449,AC040,HYD,BLR,4,5957,COMPLETED
FL0450,AC040,DEL,CCU,15,5898,COMPLETED
FL0451,AC040,HYD,CCU,25,4331,COMPLETED
FL0452,AC040,CCU,BOM,28,5136,COMPLETED
FL0453,AC040,DEL,CCU,13,2740,COMPLETED
FL0454,AC040,BLR,CCU,19,2436,COMPLETED
FL0455,AC040,CCU,MAA,15,5544,COMPLETED
FL0456,AC040,BOM,CCU,4,2499,COMPLETED
